framenr,kanji,keyword,public,last_edited,story
67,負,"defeat",0,2015-12-09 02:52:02,"*Tied up*, the *shellfish* had to accept defeat!"
68,万,"ten thousand",0,2015-12-23 02:17:46,"I *bound* ten thousand dollars together and hid it under the *floor*."
69,句,"phrase",0,2015-12-20 09:57:57,"Some Japanese #phrase#s are difficult to *wrap* your *mouth* around."
70,肌,"texture",0,2015-12-16 15:06:07,"When you expose your *flesh* to the *wind* it gets #textured#: goosebumps!"
71,旬,"decameron",0,2016-07-08 03:27:17,"#Hint:# *Here's info from Wikipedia regarding why this kanji exists, which helped me remember it:*

[Japan also divides the month roughly into three 10-day periods. Each is called a jun (旬). The first is jōjun (上旬); the second, chūjun (中旬); the last, gejun (下旬). These are frequently used to indicate approximate times, for example, ""the temperatures are typical of the jōjun of April""; ""a vote on a bill is expected during the gejun of this month.""]"
72,勺,"ladle",0,2016-07-08 03:27:45,"A ladle binds drops together."
73,的,"bull's eye",0,2023-09-13 12:20:39,"A white, bound up, drop in the center is the bull's eye."
74,首,"neck",0,2016-01-28 03:45:49,"When I think of a neck, I think of a giraffe. This kanji is just a pictograph of giraffe's face, with those little *horns* on top and a big *nose*."
75,乙,"fish guts",0,2016-07-08 03:29:00,"This is a fish hook, that pulls out the fishguts"
76,乱,"riot",0,2016-07-08 03:29:18,"A *tongue* with a *hook* can cause a riot."
77,直,"straightaway",0,2015-12-22 16:14:28,"If you get a needle in your eye that is hooked in there, get to a hospital straightaway."
78,具,"tool",0,2015-12-30 16:09:37,"Keep an eye on your tools while you work at the table."
79,真,"true",0,2023-09-13 12:22:53,"A compass is a tool with a needle on top that points to true north."
80,工,"craft",0,2016-07-08 03:30:56,"I-beams are used to CRAFT skyscrapers."
81,左,"left",0,2016-07-08 03:31:15,"The LEFT *side* of my brain *posesses* the faculties needed for logical *crafts*, like engineering"
82,右,"right",0,2016-07-08 03:31:33,"The right *side* of my brain is for *speaking*."
83,有,"possess",0,2015-12-22 16:16:44,"Possessed by the Earth's gravity, the moon stays by its side."
84,賄,"bribe",0,2023-12-21 09:39:14,"In order to bribe me you will have to give me all the *clams* you *possess*."
85,貢,"tribute",0,2016-01-31 16:53:52,"""This next song is a TRIBUTE to a little SHELLFISH friend of mine who was tragically crushed by an I-shaped table."""
86,項,"paragraph",0,2016-07-08 03:33:14,"A well CRAFTED PAGE is full of beautiful PARAGRAPHS"
87,刀,"sword",0,2016-07-08 03:33:40,"Samurai carry two swords on their belt: a curved katana and a straighter, shorter wakizashi."
88,刃,"blade",0,2016-07-08 03:34:06,"The part of a *sword* where a *drop of blood* can usually be found is the blade."
89,切,"cut",0,2015-12-28 15:30:03,"Seven swords cut better than one."
90,召,"seduce",0,2015-12-12 17:22:41,"When you seduce a girl you can put your sword in her mouth."
91,昭,"shining",0,2015-12-11 16:17:36,"The sun was shining so bright that it seduced Icarus and he flew too close."
92,則,"rule",0,2015-12-23 08:37:20,"When you have both *money* and the power of the *sword*, you can make the #rules#."
93,副,"vice-",0,2016-07-08 03:34:59,"The *wealthy* guy with the *sword* standing next to the king, that's the vice-roy who does all the dirty work."
94,別,"separate",0,2015-12-23 02:42:49,"I don't know about you but to me this seems like someone's head is about to be separated from his body. You can see he's kneeling and his mouth is wide open gasping for the last breath he will ever take."
95,丁,"street",0,2015-12-08 13:59:14,"Today, the program ""Sesame Street"" is brought to you by the letter ""T"""
96,町,"village(small town)",0,2015-12-12 16:58:10,"Getting this one confused with Town is easy, so remember it with this rhyme. ""Pillage the village, for the *rice* and and the *tea*."" the street primitive on the right looks like a 't'."
97,可,"can",0,2015-12-26 17:14:42,"A mouth on the street asking for things:  ""Can I get some help?!  Can I get directions, Can I have some money? Can you please speak English?!"""
98,頂,"place on the head",0,2016-07-08 03:36:07,"If I put a *street sign* on my *head* what do I get ?  A place on the head !"
99,子,"child",0,2016-07-08 03:36:29,"A pictograph of a child, with arms outstretched for mother (or perhaps because she is chasing a rat?).  Note that this kanji occupies the first space on the Zodiac circle, and is the sign for the rat (such as 2008!)."
100,孔,"cavity",0,2016-07-08 03:37:32,"When a child falls into a cavity we need a hook to get them out.
The child's arms flailed around at the sight of the hooked tool the dentist was going to use to fill his cavity."
101,了,"complete",0,2016-03-02 14:33:29,"The experiment was a complete failure! The child was made without any arms!"
102,女,"woman",0,2016-07-08 03:37:58,"My mother taught me that a woman should always sit with her legs crossed (but the arms can be stretched out)."
103,好,"fond",0,2016-07-08 03:38:19,"A *woman* is fond of her *child*"
104,如,"likeness",0,2015-12-16 15:12:37,"*Women* share a common likeness.  Their *mouth*s are always open, whining about this and that."
105,母,"mama",0,2016-07-08 04:40:43,"This mama had twins, one *mouth* for each *nipple*."
106,貫,"pierce",0,2015-12-27 15:00:32,"Ariel the Little Mermaid`s *clamshell* bra was held to her *breasts* by #piercings#."
107,兄,"elder brother",0,2016-07-08 04:41:17,"The pac man's (只) elder brother has to have longer legs than his junior."
108,呪,"curse",0,2014-08-09 08:54:07,"Caution: this means a spell, not to swear. I put a curse on my *elder brother* so that he can never open his *mouth*."
109,克,"overcome",0,2015-12-26 17:34:28,"Ten elder brothers can overcome anything."
110,小,"little",0,2016-07-08 04:41:43,"A little penguin with its wings at its side."
111,少,"few",0,2016-07-08 04:42:05,"A few *little penguins* slide belly-first down an ice *slide*."
112,大,"large",0,2016-07-08 04:42:27,"How large? This large!"
113,多,"many",0,2016-01-31 16:51:59,"*Two evenings* too many!"
114,夕,"evening",0,2016-03-02 14:25:41,"The evening is young, the *moon* is not full."
115,汐,"eventide",0,2016-07-08 04:42:57,"Eventide is when the drops of water are attracted to the moon. This is the tide which occurs in the evening."
116,外,"outside",0,2015-12-13 17:00:56,"A young magician likes to practice outside in the *evening* with his *magic wand* (as opposed to the old magician who wakes *early* to practice with his *wand* in {卓})."
117,名,"name",0,2016-07-08 04:43:20,"In the evening, when it becomes dark, open your mouth to say your name so that people can recognise you."
118,石,"stone",0,2016-07-08 04:43:41,"Indiana Jones jumps up and grabs the lip of *cliff* just in time to evade the huge STONE rolling out of the *mouth* of the cave!"
119,肖,"resemblance",0,2016-07-08 04:44:26,"This kanji bears a resemblance to sparks on a candle. (I always remember the primitive, but never the original keyword.)"
120,硝,"nitrate",0,2016-07-08 04:47:15,"That stone resembles nitrate
Salpetre is the common name for Nitrate coming from Latin ""sal petrae"" or stone salt. It is also a component of gun powder so including a candle in this kanji can be quite explosive!"
121,砕,"smash",0,2015-12-09 16:21:09,"To SMASH a STONE you need to hit it NINE or TEN times."
122,砂,"sand",0,2024-01-18 11:35:10,"In good SAND, *stones* are *few*, if any."
123,妬,"jealous",0,2014-08-09 09:06:15,"The jealous *woman* bashed the brains in of the guy who betrayed her, with a *stone*."
124,削,"plane",0,2016-07-08 04:48:39,"Not ""*a #plane#""*, but *""to #plane#""*.  To carve a sculpture from wooden block, you  cut it (with a *sword*) little by little, until there is *resemblance* with whatever it was meant to *resemble*."
125,光,"ray",0,2016-07-08 04:51:53,"In the *beginning* (when there were little stars ) there was a *little* ray of light in the universe"
126,太,"plump",1,2016-07-08 04:53:00,"A big person sits, tries to reach a cd but he can't reach it because he is #plump#"
127,器,"utensil",0,2016-01-25 17:04:06,"Imagine four hungry *mouths* all sitting around the table.  They are all banging their #utensils# on the table waiting for a *big* meal to be placed in the centre."
128,臭,"stinking",0,2016-07-08 04:55:42,"The ST. BERNARD DOG lifted his large NOSE high in the air to find out where the stinking smell comes from."
129,嗅,"sniff",0,2016-07-08 04:56:49,"Your mouth stinks: you need to sniff your breath."
130,妙,"exquisite",0,2015-03-06 16:43:14,"exquisite *women* are *few* and far between."
131,省,"focus",0,2016-01-18 16:24:34,"You focus by concentrating your *eye* on *few*er objects."
132,厚,"thick",0,2016-07-08 04:58:06,"The #thick# *cliff* walls protected the *children* from the *sun*"
133,奇,"strange",0,2016-07-08 04:59:05,"Imagine a ST. BERNARD DOG carrying a CAN instead of a barrel in rescue missions. How strange!"
134,川,"stream",0,2016-01-06 12:48:53,"There are *three* default I/O #Streams# in UNIX, stdin, stdout, and stderr."
135,州,"state",0,2016-01-06 16:49:25,"There were 3 little islands in the *stream* who all decided to set themselves up as independent #states#."
136,順,"obey",0,2015-12-17 01:56:19,"""Obey, Obey!"" says the brain-washing scientist as he sends a *stream* of orders to fill your *head*."
137,水,"water",0,2016-07-08 09:27:24,"The kanji for water is an abstract primitive itself, so unless one is willing to break down its etymological development, it should just simply be memorized by strokes;  constructing a story is not necessarily useful unless it strongly denotes its shape (I find that Heisig's story doesn't do this)."
138,氷,"icicle",0,2015-12-23 02:18:33,"Icicles start with 1 frozen *drop* of *water*"
139,永,"eternity",0,2016-07-08 09:29:08,"It would take an eternity to count all the drops of water unless it's on a mini floor"
140,泉,"spring",0,2015-12-23 08:30:44,"*White* is a symbol of purety, so *white* *water* is pure water, the precise definition of spring water."
141,腺,"gland",0,2014-08-09 09:17:36,"a *body part* that acts like a *spring* for hormones is a gland"
142,原,"meadow",0,2015-12-30 15:07:42,"Follow the *springs* down the *cliff* and you will find a nice meadow."
143,願,"petition",0,2015-12-13 17:18:07,"Let's petition to save that beautiful MEADOW from overdevelopment by signing on this PAGE."
144,泳,"swim",0,2015-12-22 16:21:21,"If you don't know how to swim, you'll be in that *water* for *eternity*"
145,沼,"marsh",0,2015-12-14 16:41:22,"The marshlands near Mordor seduce Frodo into gazing upon them, and he falls into the water--splash!"
146,沖,"open sea",0,2016-01-28 16:07:08,"Open sea is a lot of water in the middle of nowhere."
147,汎,"pan-",0,2014-08-09 09:12:40,"This is pan- as in the prefix meaning ""all"".  I think of Pangea as being a mediocre continent with water covering the rest of the planet.  This was before it broke up into the first-class, well-distributed continents we got now."
148,江,"creek",0,2016-01-27 12:03:23,"A CREEK is a small trail of *water* easily *craft*ed with a stick."
149,汰,"cleanse(selection)",0,2014-08-09 09:11:16,"I couldn't find any reference to this kanji as meaning cleanse.  It seems to be most often used in the following compound 沙汰（さた）to mean affair.  The other meanings seem to be closer to 'select' so maybe Heisig meant cleanse in the ethnic sense here.. I'm going to use the keyword ""selection"", as in natural selection.  Story: natural selection first began in the water, and those that were too plump were selected out."
150,汁,"soup",0,2016-07-08 09:32:06,"To make soup you just take *water* and *add* (+) the rest of your ingredients.
Water and ten ingredients can become a good soup!"
151,沙,"grains of sand",0,2024-01-18 11:35:31,"Each *water* wave washes away a *few* grains of sand."
152,潮,"tide",0,2015-12-18 17:41:29,"The morning tide is basically, well, WATER in the MORNING."
153,源,"source",0,2015-12-24 15:59:59,"The *water* that flows from the *meadow* is the #source# of life for the wild antelope"
154,活,"lively",0,2016-07-08 10:07:05,"This keyword makes me think of animals. I picture a big dog running through the grass, saliva dripping from his tongue."
155,消,"extinguish",0,2015-12-17 14:52:23,"To extinguish a SPARK, you need WATER."
156,況,"but of course",0,2015-12-22 16:41:57,"If you ask your *teenager* if what he's drinking is *water* (and not Vodka), he will answer ""but of course""."
157,河,"river",0,2015-12-28 15:43:40,"A river CAN exist only if there is WATER."
158,泊,"overnight",0,2016-03-07 13:19:51,"Please supply a guest who stays overnight with WATER and WHITE sheets."
159,湖,"lake",0,2016-07-08 10:07:58,"This is my favorite story. Simply associate the sad moment of an OLD person, standing near the WATER of the lake and looking at the MOON reflected in the lake. The created primitives themselves are put so beautifully, that you will not forget this kanji."
160,測,"fathom",0,2015-12-22 16:12:30,"A *fathom* is the unit you use when making #rules# about #water#'s depth."
161,土,"soil",0,2015-12-17 01:54:48,"Remembering soil is easy. If soil is soft, you can take a  *walking stick* and plunge it two* feet into the ground."
162,吐,"spit",0,2016-07-08 10:09:02,"SPIT goes from my MOUTH to the GROUND."
163,圧,"pressure",0,2015-12-21 18:01:05,"The GROUND at the base of a CLIFF must suffer from enormous pressure."
164,埼,"cape",0,2018-02-14 05:58:21,"A CAPE is a piece of LAND that stands out STRANGELY in the sea.

(think of a cape *DIRT*y)"
165,垣,"hedge",0,2015-12-29 13:40:18,"Before the Great Wall of China, there was a dirt hedge that spanned across."
166,填,"inlay(fill in)",0,2024-01-18 11:33:31,"For a geologist, inlayed right in the *ground* is the *truth*."
167,圭,"squared jewel",0,2016-07-08 10:11:53,"Piling *SOIL* upon *SOIL* for aeons is how SQUARE JEWELS are formed deep in the earth."
168,封,"seal",0,2015-12-27 12:07:27,"The king used a special seal of ivy leaves glued onto his document."
169,涯,"horizon",0,2015-12-23 15:40:27,"Try to reverse Heisig's story in this Kanji: imagine being trapped in one of those prison towers on an ivy cladcliff  like in the movies. From your prison ontop the ivy clad cliff all you can see in the distant horizon is nothing but water."
170,寺,"Buddhist temple",0,2015-03-13 05:02:05,"At the Buddhist temple the monks are seated on the *ground*, *glued* there in meditation."
171,時,"time",0,2015-12-21 16:42:16,"When the SUN starts to shine on the TEMPLE,  it's time to get up."
172,均,"level",0,2015-12-14 16:24:55,"*Soil* is scooped up into a *ladel*. The extra *drop* is brushed off to make it level."
173,火,"fire",0,2016-07-08 10:12:44,"For some reason, this kanji reminds me of a person running, her arms (the two drops) raised up,  because she caught on fire!"
174,炎,"inflammation",0,2016-07-08 10:13:10,"If you have an INFLAMMATION, it feels like there's *fire* above and below your skin."
175,煩,"anxiety",0,2015-12-22 16:44:16,"An anxiety feels like FIRE in the HEAD."
176,淡,"thin",0,2015-12-27 12:48:01,"Drink *water* and *burn twice* as many calories as you eat... you'll definitely get thin.  Imagine inside your body, all those calories literally being *burned* from above and below... THAT's what it takes to become thin."
177,灯,"lamp",0,2015-12-23 02:27:51,"Imagine old gas lamps which had a *flame* to light up the *street signs*."
178,畑,"farm",0,2015-12-08 08:01:46,"Many farms are created by first setting FIRE over the land to clear the land for the FIELDS."
179,災,"disaster",0,2016-07-08 10:15:06,"What a disaster! A FIRE, then on top of it came FLOODs."
180,灰,"ashes",0,2016-03-02 14:28:58,"The *fire* underneath the *cliff* will eventually turn everything above to ashes."
181,点,"spot",0,2016-07-08 10:15:27,"The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch."
182,照,"illuminate",0,2016-07-08 10:15:48,"SHINING FLAMES illuminate!"
183,魚,"fish",0,2016-07-08 10:16:07,"The elements of this kanji are bound up, rice field and cooking fire. When I think of bound up cooked rice, it makes me think of sushi, which in turn brings to mind fish."
184,漁,"fishing",0,2016-01-19 16:37:41,"""FISHING For Idiots"", Chapter One:  *Fish* are generally found in *water*."
185,里,"ri",0,2016-07-08 10:16:56,"It's not just any computer. It's an old Ata#ri#.
The ri is a Japanese way of measuring the area of the GROUND underneath a RICE FIELD."
186,黒,"black",0,2016-01-19 04:23:47,"*Burning* a *computer* is *ri*-diculous.  It just leaves everything all BLACK."
187,墨,"black ink",0,2016-07-08 10:17:16,"Theres BLACK on the GROUND...most likely someone spilt some black ink."
188,鯉,"carp",0,2015-12-11 16:44:42,"pesce-computer. Una #CARPA#"
189,量,"quantity",0,2016-07-08 10:18:05,"I did such a quantity of work that when NIGHT BREAK came, I was asleep on the COMPUTER.
A quantity can be a measure of time or space (day/ri)."
190,厘,"rin",0,2015-12-24 16:59:29,"I threw my Rindows *computer* off a *cliff* because it kept crashing. Now, after its last crash, it's worth less than a rin."
191,埋,"bury",0,2015-12-27 15:48:30,"you can`t bury computers underground, because of the dangerous heavy metals, so you hide them behind an equally large mound of soil and hope no-one notices."
192,同,"same",0,2015-12-22 09:53:20,"Muslim women wearing veils (HOOD) all look the same, you can just see ONE MOUTH and very little else."
193,洞,"den",0,2015-12-22 16:48:02,"All the animals in the den share the *same* *water*"
194,胴,"trunk",0,2015-12-22 09:57:46,"Dead *flesh* all looks the *same* when you chop off everything but the trunk.  Yes, I'm appalled at how gruesome this story is too."
195,向,"yonder",0,2015-12-23 02:22:43,"The spaceman died screaming, his *MOUTH* wide open because someone has cut the oxygen cable from the *HOOD/HELMET* of his space suit.  As his last *DROPs* of  oxygen escaped into the vastness of space he thought to himself,  So much for flying off into the wild blue *YONDER*"
196,尚,"esteem",0,2015-12-09 11:29:05,"An especially esteemed alien has three antennae on his helmet."
197,字,"character",0,2016-01-02 17:38:12,"CHILDren learn Kanji characters underneath a HOUSE."
198,守,"guard",0,2015-12-09 16:20:26,"A GUARD is usually ""glued"" to the house he watches."
199,完,"perfect",0,2015-12-23 02:32:10,"In the beginning, Adam and Eve had a home in Eden. It was perfect."
200,宣,"proclaim",0,2015-12-17 13:35:55,"You can proclaim your opinions from the comfort of your HOUSE and have it SPAN the entire globe these days via The Internet."
201,宵,"wee hours",0,2015-12-27 12:35:50,"I burn the CANDLE in my HOUSE until the WEE HOURS reviewing the kanji!!!"
202,安,"relax/cheap",0,2016-01-10 13:00:33,"It's funny, Hesig gives no Kanji in his book that means cheap/inexpensive... well... if you were wondering what Kanji would carry that meaning, look no further. Sometimes I wonder if Hesig just thinks our little brains would be too easily confused by multiple meanings. Regardless, think of that woman relaxing. Cheapest place to do that is in one's own home rather than at some fancy resort, eh? 家で休暇を取るは安いですね。


the CHEAPest place to RELAX with a Woman is At Home"
203,宴,"banquet",0,2015-12-27 15:05:01,"The WOMAN spent all DAY preparing a banquet in the HOUSE."
204,寄,"draw near",0,2015-12-26 17:28:38,"The *strange house* has a sign saying ""DRAW NEAR"" in its window, instead of a 'Beware' sign.  It must be a trick!"
205,富,"wealth",0,2016-07-11 15:12:41,"Remember Ducktales? That rich duck had that room in his house where he kept all the wealth! He had so much in that house you could even swim in it!"
206,貯,"savings",0,2015-12-22 04:37:39,"It takes a lot more than one *clam* of savings to buy a *house* on a *street*."
207,木,"tree",0,2016-07-11 15:14:11,"Pictograph of a tree."
208,林,"grove",0,2016-01-03 09:13:15,"[ #grove# = *tree* + *tree* ] - a #grove# is between a single tree {木} and a many-treed forest {森}"
209,森,"forest",0,2015-12-13 17:05:18,"The higher you go up a mountain the less trees there are, that's so u dont mess up with their possition like i do"
210,桂,"Japanese Judas-tree",0,2015-12-22 16:43:36,"Simple mnemonic : ""The Japanese Judas-tree is the *tree* on which Judas hang himself to the *ivy*"" (Judas the traitor of the Christian bible). Just picture Judas hanging himself, using *ivy* as a if it was a rope."
211,柏,"oak",0,2015-12-11 16:39:24,"The wood from oak *trees* can be used to make barrels in which *white* wine is aged. What's more, I love *white* wine with an #oaky# flavour..."
212,枠,"frame",0,2013-10-15 15:53:07,"A good *wood*en frame has perfect right angles at each corner: *ninety* degrees at each one."
213,梢,"treetops",0,2013-10-15 15:53:50,"At Christmas time, on the treetops, people used to place great big *candles* (Now we usually place a star instead)"
214,棚,"shelf",0,2013-10-15 15:55:02,"A shelf is a *wooden companion* to books."
215,杏,"apricot",0,2013-10-15 15:55:40,"From the *tree* straight into the *mouth* is the best way to eat an apricot!"
216,桐,"paulownia",0,2016-07-11 15:23:46,"In Japan, a paulownia (きり）is known as the ""princess tree"". It was once a traditional TREE planted at the SAME time as the birth of a daughter. It would grow fast enough that, at the time of her wedding, it could be used to make a dresser as a wedding present for her."
217,植,"plant",0,2013-10-15 15:58:21,"Plants don't become *tree*s *straightaway*."
218,椅,"chair",0,2014-08-09 09:42:47,"To the Japanese, the first time they saw a chair, it looked like a *strange* use of *wood*!  Probably why they still like to sit on the floor..."
219,枯,"wither",0,2013-10-15 15:59:08,"A tree withers away as it gets old."
220,朴,"crude",0,2015-12-17 14:55:18,"*Wooden wands* are the crudest.  They are nothing compared to their carbon fibre equivilents."
221,村,"village",0,2016-07-11 15:26:12,"A village is just a bunch of wood glued together.

There is a mix up, this kanji means むら=village, not town. The one for town is まち　= 町. 100% shure because my teacher is native Japanese."
222,相,"inter-",0,2016-07-11 15:27:07,"A piece of wood went ""inter"" my eye. This is an internal injury.

The Minister of trees has a good eye for inter-action."
223,机,"desk",0,2016-07-11 15:27:56,"The tree was blown down by the wind, so I made a desk from it.

My wooden desk is so messy, it looks like a strong wind blew my things all over it."
224,本,"book",0,2013-10-15 16:07:58,"a book is one slice of a tree"
225,札,"tag",0,2013-10-15 16:09:44,"Botanists like to identify a tree by hooking tag on it."
226,暦,"calendar",0,2016-07-11 15:38:47,"Years-Months-Days:  It takes many years for a *cliff* to form or erode.  A *tree* takes many months to grow.  But *days* pass by regularly - so in this way, we see the movement of time such as with a CALENDAR."
227,案,"plan",0,2016-07-11 15:39:08,"Man's plan of life:
build a house, find a woman, plant a tree
I plan to RELAX on top of that TREE."
228,燥,"parch",0,2016-07-11 15:40:43,"A fire's heat will parch/dry out any goods made from wood.

Tip: goods + wood/tree : This combination of primitives appears four times in Heisig, so it's worthwhile giving it a name. I suggest ""furniture"" (a common type of wooden goods). REF: parch (FRAME 215) , 操 (#724), 繰 (#1469), 藻 (#2191). Story: It's been so parched recently that your furniture suddenly catches fire."
229,未,"not yet",0,2016-07-11 15:41:10,"The tree is not yet fully grown.

I believe a better version of that by mameha1977: [Cheat] Remember these as a set: The tree (木) does not yet (未) have exremities (末) of vermilion (朱)."
